RegionName,City,State,CountyName,2018-11
91910,Chula Vista,CA,San Diego County,17.82
92126,San Diego,CA,San Diego County,19.59
91911,Chula Vista,CA,San Diego County,17.03
92101,San Diego,CA,San Diego County,17.67
92109,San Diego,CA,San Diego County,21.19
92021,El Cajon,CA,San Diego County,16.81
92154,San Diego,CA,San Diego County,17.24
92104,San Diego,CA,San Diego County,20.84
92115,San Diego,CA,San Diego County,17.21
92105,San Diego,CA,San Diego County,16.83
92122,San Diego,CA,San Diego County,19.74
92130,San Diego,CA,San Diego County,21.83
92117,San Diego,CA,San Diego County,20.41
92128,San Diego,CA,San Diego County,19.84
92020,El Cajon,CA,San Diego County,17.89
92056,Oceanside,CA,San Diego County,17.85
92071,Santee,CA,San Diego County,17.61
92024,Encinitas,CA,San Diego County,21.59
92057,Oceanside,CA,San Diego County,17.15
92103,San Diego,CA,San Diego County,20.04
91977,Spring Valley,CA,San Diego County,16.73
92037,San Diego,CA,San Diego County,21.93
92078,San Marcos,CA,San Diego County,18.81
92026,Escondido,CA,San Diego County,17.86
92129,San Diego,CA,San Diego County,21.42
92114,San Diego,CA,San Diego County,16.67
91942,La Mesa,CA,San Diego County,17.8
92028,Fallbrook,CA,San Diego County,19.07
92111,San Diego,CA,San Diego County,19.25
91950,National City,CA,San Diego County,16.66
92027,Escondido,CA,San Diego County,16.89
92116,San Diego,CA,San Diego County,20.28
92009,Carlsbad,CA,San Diego County,21.32
92054,Oceanside,CA,San Diego County,19.93
92064,Poway,CA,San Diego County,20.68
92127,San Diego,CA,San Diego County,21.25
92040,Lakeside,CA,San Diego County,17.7
92025,Escondido,CA,San Diego County,17.97
91913,Chula Vista,CA,San Diego County,17.62
92069,San Marcos,CA,San Diego County,18.16
92084,Vista,CA,San Diego County,18.49
92019,El Cajon,CA,San Diego County,17.8
92058,Oceanside,CA,San Diego County,17.01
92102,San Diego,CA,San Diego County,17.56
92107,San Diego,CA,San Diego County,22.3
92065,Ramona,CA,San Diego County,18.09
92113,San Diego,CA,San Diego County,16.82
92108,San Diego,CA,San Diego County,15.44
91941,La Mesa,CA,San Diego County,19.24
92131,San Diego,CA,San Diego County,21.23
92110,San Diego,CA,San Diego County,18.95
92120,San Diego,CA,San Diego County,19.89
92008,Carlsbad,CA,San Diego County,21.83
92123,San Diego,CA,San Diego County,19.55
92083,Vista,CA,San Diego County,16.94
92124,San Diego,CA,San Diego County,20.51
92081,Vista,CA,San Diego County,18.36
92139,San Diego,CA,San Diego County,16.67
92011,Carlsbad,CA,San Diego County,21.28
92119,San Diego,CA,San Diego County,19.34
91932,Imperial Beach,CA,San Diego County,19.71
91915,Chula Vista,CA,San Diego County,17.57
92118,Coronado,CA,San Diego County,22.06
91945,Lemon Grove,CA,San Diego County,16.74
92106,San Diego,CA,San Diego County,22.33
92173,San Diego,CA,San Diego County,16.74
92029,Escondido,CA,San Diego County,20.89
92082,Valley Center,CA,San Diego County,19.12
92014,Del Mar,CA,San Diego County,22.19
92075,Solana Beach,CA,San Diego County,21.78
91901,Alpine,CA,San Diego County,19.32
92010,Carlsbad,CA,San Diego County,20.32
91902,Bonita,CA,San Diego County,20.34
92007,Encinitas,CA,San Diego County,22.04
91914,Chula Vista,CA,San Diego County,19.25
92067,Rancho Santa Fe,CA,San Diego County,21.7
91935,Jamul,CA,San Diego County,19.94
91978,Spring Valley,CA,San Diego County,17.9
92003,Bonsall,CA,San Diego County,19.59
92004,Borrego Springs,CA,San Diego County,12.37
92036,Julian,CA,San Diego County,15
92121,San Diego,CA,San Diego County,19.92
91906,Campo,CA,San Diego County,12.9
92061,Pauma Valley,CA,San Diego County,18.98
91962,Descanso,CA,San Diego County,16.61
91916,Descanso,CA,San Diego County,16.28
92091,Rancho Santa Fe,CA,San Diego County,22.02